,Field ID,Description,metric,roi,hemi
62,27174,Mean_thickness of caudalanteriorcingulate (left hemisphere),Mean_thickness,caudalanteriorcingulate,lh
63,27267,Mean_thickness of caudalanteriorcingulate (right hemisphere),Mean_thickness,caudalanteriorcingulate,rh
64,27175,Mean_thickness of caudalmiddlefrontal (left hemisphere),Mean_thickness,caudalmiddlefrontal,lh
65,27268,Mean_thickness of caudalmiddlefrontal (right hemisphere),Mean_thickness,caudalmiddlefrontal,rh
66,27176,Mean_thickness of cuneus (left hemisphere),Mean_thickness,cuneus,lh
67,27269,Mean_thickness of cuneus (right hemisphere),Mean_thickness,cuneus,rh
68,27177,Mean_thickness of entorhinal (left hemisphere),Mean_thickness,entorhinal,lh
69,27270,Mean_thickness of entorhinal (right hemisphere),Mean_thickness,entorhinal,rh
70,27178,Mean_thickness of fusiform (left hemisphere),Mean_thickness,fusiform,lh
71,27271,Mean_thickness of fusiform (right hemisphere),Mean_thickness,fusiform,rh
72,27179,Mean_thickness of inferiorparietal (left hemisphere),Mean_thickness,inferiorparietal,lh
73,27272,Mean_thickness of inferiorparietal (right hemisphere),Mean_thickness,inferiorparietal,rh
74,27180,Mean_thickness of inferiortemporal (left hemisphere),Mean_thickness,inferiortemporal,lh
75,27273,Mean_thickness of inferiortemporal (right hemisphere),Mean_thickness,inferiortemporal,rh
76,27204,Mean_thickness of insula (left hemisphere),Mean_thickness,insula,lh
77,27297,Mean_thickness of insula (right hemisphere),Mean_thickness,insula,rh
78,27181,Mean_thickness of isthmuscingulate (left hemisphere),Mean_thickness,isthmuscingulate,lh
79,27274,Mean_thickness of isthmuscingulate (right hemisphere),Mean_thickness,isthmuscingulate,rh
80,27182,Mean_thickness of lateraloccipital (left hemisphere),Mean_thickness,lateraloccipital,lh
81,27275,Mean_thickness of lateraloccipital (right hemisphere),Mean_thickness,lateraloccipital,rh
82,27183,Mean_thickness of lateralorbitofrontal (left hemisphere),Mean_thickness,lateralorbitofrontal,lh
83,27276,Mean_thickness of lateralorbitofrontal (right hemisphere),Mean_thickness,lateralorbitofrontal,rh
84,27184,Mean_thickness of lingual (left hemisphere),Mean_thickness,lingual,lh
85,27277,Mean_thickness of lingual (right hemisphere),Mean_thickness,lingual,rh
86,27185,Mean_thickness of medialorbitofrontal (left hemisphere),Mean_thickness,medialorbitofrontal,lh
