,traj_func,roi_variation,subject_variation,followup_interval,data_aug
0,exp,init_shift,0,2,False
1,exp,init_shift,0,2,True
2,exp,init_shift,0,10,False
3,exp,init_shift,0,10,True
4,exp,init_shift,0.5,2,False
5,exp,init_shift,0.5,2,True
6,exp,init_shift,0.5,10,False
7,exp,init_shift,0.5,10,True
8,exp,init_shift,1,2,False
9,exp,init_shift,1,2,True
10,exp,init_shift,1,10,False
11,exp,init_shift,1,10,True
12,exp,time_shift,0,2,False
13,exp,time_shift,0,2,True
14,exp,time_shift,0,10,False
15,exp,time_shift,0,10,True
16,exp,time_shift,0.5,2,False
17,exp,time_shift,0.5,2,True
18,exp,time_shift,0.5,10,False
19,exp,time_shift,0.5,10,True
20,exp,time_shift,1,2,False
21,exp,time_shift,1,2,True
22,exp,time_shift,1,10,False
23,exp,time_shift,1,10,True
24,poly,init_shift,0,2,False
25,poly,init_shift,0,2,True
26,poly,init_shift,0,10,False
27,poly,init_shift,0,10,True
28,poly,init_shift,0.5,2,False
29,poly,init_shift,0.5,2,True
30,poly,init_shift,0.5,10,False
31,poly,init_shift,0.5,10,True
32,poly,init_shift,1,2,False
33,poly,init_shift,1,2,True
34,poly,init_shift,1,10,False
35,poly,init_shift,1,10,True
36,poly,time_shift,0,2,False
37,poly,time_shift,0,2,True
38,poly,time_shift,0,10,False
39,poly,time_shift,0,10,True
40,poly,time_shift,0.5,2,False
41,poly,time_shift,0.5,2,True
42,poly,time_shift,0.5,10,False
43,poly,time_shift,0.5,10,True
44,poly,time_shift,1,2,False
45,poly,time_shift,1,2,True
46,poly,time_shift,1,10,False
47,poly,time_shift,1,10,True
